influencer_username,post_reel_link,likes,comments,views,caption,followers,total_posts,following,engagement_score,engagement_rate
girligirl_boutique,https://www.instagram.com/p/Ct46cVaPFb5/,5703,6,0,,0,6941,1048,5709,0.0
gautierdresses,https://www.instagram.com/p/DF8ZF2fvlT8/,3858,12,0,,0,3742,34,3870,0.0
AndreiaGibau,https://www.instagram.com/p/CHRpR4uHAup/,1,2020,30067,,0,264,1040,2622,0.0
romain.boos,https://www.instagram.com/p/BqdMkqSHZLD/,924,3,0,,311,0,344,927,2.980707
bellaboutiqueknoxville,https://www.instagram.com/p/BncJIgCB2ak/,2,851,0,,0,5315,6951,853,0.0
katarina_schweitzer,https://www.instagram.com/p/BH7lBw2BU7i/,579,10,0,,0,0,0,589,0.0
missteenctintl2016,https://www.instagram.com/p/uL46FmN4_F/,445,26,0,,0,0,0,471,0.0
zainab_almaliky89,https://www.instagram.com/p/_Pg3q2t4yU/,443,8,0,,85,12,1034,451,5.305882
andriakatherine,https://www.instagram.com/p/DETg30nNe7A/,425,2,0,,772,7,371,427,0.553109
kelsey_k21,https://www.instagram.com/p/BZmN4_SF2kG/,285,1,0,,1161,247,1183,286,0.246339
claramae_johnson,https://www.instagram.com/p/C8Pqd2Ju29U/,271,1,0,,2315,89,1856,272,0.117495
chloelaneroberts,https://www.instagram.com/p/DI3v5Pmuz84/,259,0,0,,778,14,831,259,0.332905
missphiladelphiaorg,https://www.instagram.com/p/Bd7yhe-HXF6/,256,3,0,,3160,1858,1032,259,0.081962
empire_of_insta,https://www.instagram.com/p/CSxt8kTLuV4/,238,10,0,,0,0,0,248,0.0
spring_summer_outfit,https://www.instagram.com/p/CPyfhxEHTgK/,1,3,10579,,195,87,2,215,1.102564
marissamcnew,https://www.instagram.com/p/DJHXW0RO54s/,206,0,0,,574,66,538,206,0.358885
kearimcspadden,https://www.instagram.com/p/DI_o0zXO30O/,189,0,0,,908,1626,938,189,0.20815
breelie101,https://www.instagram.com/p/BCicQFXSRsw/,169,5,0,,1253,152,1262,174,0.138867
_jxsa,https://www.instagram.com/p/0dxUJlvFAq/,161,12,0,,1812,142,1104,173,0.095475
karly_riggs,https://www.instagram.com/p/BXmINpZlwNZ/,166,0,0,,0,80,1222,166,0.0
